,Protein_(g),Lipid_Tot_(g),Carbohydrt_(g),Fiber_TD_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_(mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_(mg),Vit_B12_(µg),Vit_A_(IU),Vit_E_(mg),Vit_D_(µg),Vit_D_(IU),Vit_K_(µg),FA_Sat_(g),Cholestrl_(mg),co2,Shrt_Desc,Agriculture
6484,0.05674698795180723,0.02855421686746988,0.44734939759036146,0.04397590361445783,0.04216867469879518,0.016325301204819277,0.7650602409638554,1.2650602409638554,1.7289156626506024,0.21084337349397592,0.013313253012048193,0.001891566265060241,0.0029216867469879517,0.09337349397590361,0.0,0.002319277108433735,0.001210843373493976,0.021849397590361443,0.0025542168674698796,0.0037469879518072288,0.1144578313253012,0.0,0.1144578313253012,0.1144578313253012,0.0,0.0,1.2891566265060241,0.0029518072289156628,0.0,0.0,0.0018072289156626504,0.004018072289156627,0.0,1.3319760968544938e-06,"CORN GRAIN,YEL",Cereals excluding rice
111,0.25120000000000003,0.1902,0.0144,0.0,1.12,0.035,0.24,3.96,2.76,2.84,0.0258,0.0014399999999999999,0.0005600000000000001,0.614,0.0,0.0008,0.00914,0.0015,0.03066,0.0034000000000000002,0.94,0.0,0.94,0.94,5.876,0.0178,10.8,0.021,0.04,1.64,0.006,0.06251999999999999,7.44,2.2155986220869588e-05,"EGG,WHL,RAW,FRSH","Eggs, hen, in shell"
5258,0.7192239858906525,0.04832451499118166,0.0,0.0,0.42328042328042326,0.056790123456790124,1.128747795414462,6.948853615520282,10.476190476190476,1.8694885361552027,0.06807760141093473,0.005326278659611993,0.0,0.31746031746031744,0.0,0.0014109347442680775,0.007054673721340388,0.21058201058201056,0.00564373897707231,0.01869488536155203,0.2821869488536155,0.0,0.2821869488536155,0.2821869488536155,0.0,0.058553791887125214,0.0,0.0,0.0,0.0,0.0,0.016225749559082892,1.6225749559082892,0.003863799073385082,"GAME MEAT,BUFFALO,H2O,RAW","Meat, buffalo"
3748,0.22847058823529415,0.14976470588235294,0.0,0.0,0.1411764705882353,0.023411764705882354,0.2235294117647059,2.0588235294117645,3.4,0.8,0.05352941176470588,0.0007411764705882353,0.00011764705882352942,0.16705882352941176,0.0,0.0005764705882352942,0.001811764705882353,0.05668235294117647,0.0067764705882352935,0.004176470588235294,0.07058823529411765,0.0,0.07058823529411765,0.07058823529411765,0.7929411764705883,0.023176470588235295,0.0,0.004117647058823529,0.0,0.0,0.012941176470588237,0.06276470588235294,0.7294117647058823,0.0010221825811993792,"BEEF,GRASS-FED,GROUND,RAW","Meat, cattle"
828,0.21882352941176472,0.1771764705882353,0.0,0.0,0.12941176470588237,0.010588235294117647,0.23529411764705882,1.7294117647058824,2.223529411764706,0.8235294117647058,0.015411764705882354,0.0005647058823529412,0.0002235294117647059,0.16941176470588235,0.018823529411764708,0.0007058823529411764,0.0014117647058823528,0.08001176470588235,0.010705882352941176,0.004117647058823529,0.07058823529411765,0.0,0.07058823529411765,0.07058823529411765,0.7023529411764706,0.0036470588235294117,1.6470588235294117,0.003529411764705882,0.0023529411764705885,0.11764705882352941,0.01764705882352941,0.05070588235294117,0.8823529411764706,1.580159973702431e-05,"CHICKEN,BROILERS OR FRYERS,MEAT & SKN,RAW","Meat, chicken"
5266,0.7266313932980599,0.08148148148148147,0.0,0.0,0.4585537918871252,0.09982363315696649,0.0,6.349206349206349,13.580246913580247,2.892416225749559,0.14109347442680775,0.009029982363315696,0.0013403880070546736,0.31040564373897706,0.0,0.003880070546737213,0.01728395061728395,0.13227513227513227,0.0,0.0,0.1763668430335097,0.0,0.1763668430335097,0.1763668430335097,0.0,0.03985890652557319,0.0,0.0,0.0,0.0,0.0,0.025044091710758373,2.0105820105820107,0.0015585910618755939,"GOAT,RAW","Meat, goat"
2666,0.5954144620811287,0.7474426807760142,0.0,0.0,0.49382716049382713,0.031040564373897704,0.6701940035273368,6.172839506172839,10.123456790123456,1.9753086419753085,0.07760141093474426,0.001587301587301587,0.00035273368606701937,0.8677248677248677,0.024691358024691357,0.02582010582010582,0.008289241622574954,0.15301587301587302,0.023562610229276897,0.013509700176366842,0.1763668430335097,0.0,0.1763668430335097,0.1763668430335097,0.0,0.024691358024691357,0.24691358024691357,0.0,0.0,0.0,0.0,0.2776014109347443,2.5396825396825395,0.00014593361843953588,"PORK,FRESH,GROUND,RAW","Meat, pig"
5322,0.584126984126984,0.8257495590828924,0.0,0.0,0.564373897707231,0.054673721340388004,0.7407407407407407,5.537918871252204,7.830687830687831,2.0811287477954146,0.12028218694885362,0.003562610229276896,0.0006701940035273368,0.6631393298059964,0.0,0.003880070546737213,0.007407407407407407,0.21022927689594356,0.02292768959435626,0.004585537918871252,0.6349206349206349,0.0,0.6349206349206349,0.6349206349206349,2.444444444444444,0.08148148148148147,0.0,0.007054673721340388,0.003527336860670194,0.07054673721340388,0.12698412698412698,0.35943562610229274,2.5749559082892417,0.001240779070833333,"LAMB,GROUND,RAW","Meat, sheep"
96,0.015368852459016393,0.028237704918032784,0.02122950819672131,0.0,0.6926229508196722,0.0004918032786885246,0.12704918032786885,0.47950819672131145,0.7295081967213115,0.21311475409836064,0.0009016393442622951,0.00018852459016393443,7.377049180327868e-05,0.0,0.00942622950819672,0.00021311475409836064,0.0005532786885245902,0.00037295081967213115,0.0007868852459016394,9.426229508196722e-05,0.02459016393442623,0.0,0.02459016393442623,0.02459016393442623,0.0,0.0014754098360655738,0.7295081967213115,0.0,0.0,0.0,0.0,0.01884016393442623,0.0778688524590164,7.888977051299782e-06,"MILK,INDIAN BUFFALO,FLUID","Milk, whole fresh buffalo"
179,0.01290983606557377,0.013401639344262296,0.01959016393442623,0.0,0.46311475409836067,0.00012295081967213115,0.040983606557377046,0.3442622950819672,0.5409836065573771,0.1762295081967213,0.0015163934426229509,0.00010245901639344262,1.639344262295082e-05,0.015163934426229509,0.0,0.00018852459016393443,0.0006926229508196722,0.00036475409836065573,0.001528688524590164,0.00014754098360655736,0.020491803278688523,0.0,0.020491803278688523,0.020491803278688523,0.05860655737704918,0.0018442622950819673,0.6639344262295082,0.0002868852459016394,0.0004098360655737705,0.00819672131147541,0.0012295081967213114,0.00764344262295082,0.040983606557377046,1.9112127194768108e-05,"MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D","Milk, whole fresh camel"
179,0.01290983606557377,0.013401639344262296,0.01959016393442623,0.0,0.46311475409836067,0.00012295081967213115,0.040983606557377046,0.3442622950819672,0.5409836065573771,0.1762295081967213,0.0015163934426229509,0.00010245901639344262,1.639344262295082e-05,0.015163934426229509,0.0,0.00018852459016393443,0.0006926229508196722,0.00036475409836065573,0.001528688524590164,0.00014754098360655736,0.020491803278688523,0.0,0.020491803278688523,0.020491803278688523,0.05860655737704918,0.0018442622950819673,0.6639344262295082,0.0002868852459016394,0.0004098360655737705,0.00819672131147541,0.0012295081967213114,0.00764344262295082,0.040983606557377046,9.173339255768074e-06,"MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D","Milk, whole fresh cow"
94,0.11672131147540984,0.13573770491803278,0.1459016393442623,0.0,4.39344262295082,0.001639344262295082,0.45901639344262296,3.639344262295082,6.688524590163935,1.639344262295082,0.009836065573770491,0.0015081967213114755,0.0005901639344262294,0.04590163934426229,0.042622950819672135,0.0015737704918032788,0.004524590163934427,0.009081967213114755,0.010163934426229508,0.0015081967213114755,0.03278688524590164,0.0,0.03278688524590164,0.03278688524590164,0.5245901639344263,0.002295081967213115,6.491803278688525,0.002295081967213115,0.042622950819672135,1.6721311475409837,0.009836065573770491,0.08744262295081967,0.36065573770491804,8.948141585995305e-05,"MILK,GOAT,FLUID,W/ ADDED VITAMIN D","Milk, whole fresh goat"
97,0.024408163265306124,0.02857142857142857,0.021877551020408163,0.0,0.7877551020408163,0.00040816326530612246,0.07346938775510205,0.6448979591836734,0.5591836734693878,0.17959183673469387,0.0022040816326530615,0.00018775510204081632,7.346938775510203e-05,0.0069387755102040816,0.017142857142857144,0.0002653061224489796,0.0014489795918367345,0.0017020408163265306,0.0016612244897959182,0.00024489795918367346,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.0,0.002897959183673469,0.6,0.0,0.0,0.0,0.0,0.018787755102040817,0.11020408163265306,2.4890271117457397e-05,"MILK,SHEEP,FLUID","Milk, whole fresh sheep"
6510,0.03854054054054054,0.003567567567567568,0.4321621621621622,0.007027027027027027,0.15135135135135136,0.023297297297297296,0.13513513513513514,0.6216216216216216,0.6216216216216216,0.02702702702702703,0.005891891891891893,0.0011891891891891893,0.005881081081081082,0.08162162162162162,0.0,0.0031135135135135134,0.00026486486486486485,0.02265945945945946,0.005481081081081082,0.0008864864864864865,1.2486486486486486,1.2054054054054053,0.043243243243243246,2.091891891891892,0.03135135135135135,0.0,0.0,0.0005945945945945946,0.0,0.0,0.0005405405405405405,0.0009729729729729729,0.0,7.381163619707008e-06,"RICE,WHITE,LONG-GRAIN,REG,RAW,ENR","Rice, paddy"
